record_id,name_code,web_site,genus,subgenus,species,infraspecies_parent_name_code,infraspecies,infraspecies_marker,author,accepted_name_code,comment,scrutiny_date,sp2000_status_id,database_id,specialist_id,family_id,specialist_code,family_code,is_accepted_name,gsdtaxonguid,gsdnameguid,is_extinct,has_preholocene,has_modern,reference_year,ref_source,as_authors,as_edition,as_journal,as_note,as_pages,as_volume,as_year
9451,4927475b-52d5-4534-846b-256af79d83f8,\N,Bifusella,\N,abietis,\N,\N,\N,"Dearn., 1926",f7c01e5b-ca62-4bb0-b64b-7316b9381d64,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1926,In: Mycologia 18(5):239.,J. Dearness,\N,Mycologia,\N,239,18(5),1926
9452,26f7fdfa-ff06-4e26-9f31-cbfe5118b3f2,\N,Pezizella,\N,aristospora,\N,\N,\N,"Bonar, 1942",14a0f296-f0cd-436d-ad3d-b4cdc50fd327,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1942,In: Mycologia 34(2):183.,L. Bonar,\N,Mycologia,\N,183,34(2),1942
9453,aea0f914-17cb-4b08-8d9d-8f9c8515a928,\N,Pleiostictis,\N,propolidoides,\N,\N,\N,"Rehm, 1882",0ba28a9f-2d2d-4861-a335-fee0fb69ebcd,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1882,In: Ascom. Lojkani:no. 24.,H.S.L.F.F. Rehm,\N,Ascom. Lojkani: no.,\N,\N,24.,1882
9454,cba7cdc2-0f1e-477d-9d61-655b690759a5,\N,Pragmoparopsis,\N,juniperi,\N,\N,\N,"(P. Karst. ex P. Karst.) Höhn., 1917",630d23b6-040d-44f6-835e-f818b8b98d7a,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1917,In: Annls mycol. 15(5):320.,"Höhnel, F.X.R. von",\N,\N,\N,320,15(5),1917
9455,abeb5e06-5167-42a6-86e3-88edfa680c39,\N,Stictis,\N,hysterina,\N,\N,\N,"Fr., 1822",b3cc2814-15cd-4c3f-8e6f-2af7a394265b,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1822,In: Syst. mycol. (Lundae) 2(1):199.,E.M. Fries,\N,Syst. mycol. (Lundae),\N,199,2(1),1822
9456,922a1977-19b9-4ddf-8acb-804006a8c3a0,\N,Propolis,\N,hysterina,\N,\N,\N,"(Fr.) Fr., 1849",b3cc2814-15cd-4c3f-8e6f-2af7a394265b,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1849,"In: Summa veg. Scand., Sectio Post. (Stockholm):372.",E.M. Fries,\N,"Summa veg. Scand., Sectio Post. (Stockholm):",\N,372,\N,1849
9457,ac380571-3930-4206-9913-bfbabfc2907a,\N,Xylogramma,\N,hysterinum,\N,\N,\N,"(Fr.) Rehm, 1888",b3cc2814-15cd-4c3f-8e6f-2af7a394265b,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1888,"In: Rabenh. Krypt.-Fl., Edn 2 (Leipzig) 1.3(lief. 30):171.",Winter,Edn 2,"Rabenh. Krypt.-Fl.,",\N,171,(Leipzig) 1.3(lief. 30),1888
9459,aa54a37e-92b5-4a67-b44c-ff062455c335,\N,Mycoporum,\N,attenuatum,\N,\N,\N,"(Durieu & Mont.) Nyl., 1856",9f0dab3d-1a40-416e-8630-90584c30a857,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1856,In: Act. Soc. linn. Bordeaux 21:417.,W. Nylander,\N,Act. Soc. linn. Bordeaux,\N,417,21,1856
9460,5078f811-910a-43e9-b167-27c052351890,\N,Xylographa,\N,attenuata,\N,\N,\N,"Durieu & Mont., 1846",9f0dab3d-1a40-416e-8630-90584c30a857,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1846,"In: Expl. Sci. Alg., Fl. Algér. 1:tab. 29: 7.",Durieu & Mont.,\N,"Expl. Sci. Alg., Fl. Algér.",\N,7,1: tab. 29,1846
9461,508631d1-e412-423e-97d9-7764f205f756,\N,Stictis,\N,aeruginosa,\N,\N,\N,"Pers., 1822",a0ffa016-cd1b-4662-b84f-e6efa2fc18de,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1822,In: Mycol. eur. (Erlanga) 1:338.,C.H. Persoon,\N,Mycol. eur. (Erlanga),\N,338,1,1822
9462,8fd51c9c-2b0e-4f05-b12a-e3cefa3d56ee,\N,Arthothelium,\N,dubyanum,\N,\N,\N,"(Rehm) Höhn., 1909",6101e6ac-fb0c-4594-aed2-910f37bda04c,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1909,"In: Sber. Akad. Wiss. Wien, Math.-naturw. Kl., Abt. 1 118:1225 [69 repr.].","Höhnel, F.X.R. von",\N,"Sber. Akad. Wiss. Wien, Math.-naturw. Kl., Abt.",[69 repr.].,1225,1 118,1909
9463,5562ec91-4ee5-4db9-8832-b85848b43986,\N,Phacidium,\N,schizoxylon,\N,\N,\N,"Fr., 1849",14e61973-875b-4be9-af7d-14a113f86a61,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1849,"In: Summa veg. Scand., Sectio Post. (Stockholm):369.",E.M. Fries,\N,"Summa veg. Scand., Sectio Post. (Stockholm):",\N,369,\N,1849
9464,31aaa929-92d3-4e4f-9ed2-7febcf1c66f3,\N,Stictis,\N,pteridina,\N,\N,\N,"W. Phillips & Buckn., 1887",d99d2b77-b174-45a7-b76e-c0f32976e6ba,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1887,In: Man. Brit. Discomyc. (London):384.,Phillips,\N,Man. Brit. Discomyc. (London):,\N,384,\N,1887
9465,6ad3246f-de79-4749-8be6-b1321ed9eb71,\N,Ascobolus,\N,conglomeratus,\N,\N,\N,"Schwein., 1832",1d7e27a7-c980-4aeb-8e7b-df55d87b7f9c,\N,\N,5,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1832,"In: Trans. Am. phil. Soc., New Series 4(2):178.","Schweinitz, L.D. von",\N,"Trans. Am. phil. Soc., New Series",\N,178,4(2),1832
9466,3791c7d5-b33c-44d6-8511-64202dd19dc5,\N,Angelina,\N,conglomerata,\N,\N,\N,"(Schwein.) Fr., 1849",1d7e27a7-c980-4aeb-8e7b-df55d87b7f9c,\N,\N,2,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1849,"In: Summa veg. Scand., Sectio Post. (Stockholm):358.",E.M. Fries,\N,"Summa veg. Scand., Sectio Post. (Stockholm):",\N,358,\N,1849
9467,fa51f0c0-d661-4962-9b1f-6b8d4294af1b,\N,Angelina,\N,conglomerata,\N,\N,\N,"(Schwein.) Fr., 1851",1d7e27a7-c980-4aeb-8e7b-df55d87b7f9c,\N,\N,2,25,\N,\N,\N,\N,0,\N,\N,0,0,0,1851,"In: Nova Acta R. Soc. Scient. upsal., Ser. 3 1(1):121.",E.M. Fries,Ser. 3,"Nova Acta R. Soc. Scient. upsal.,",\N,121,1(1),1851
