record_id,author,year,title,source,database_id,reference_code
3378,P.R. Johnston,1989,Rhytismataceae in New Zealand 2. The genus Lophodermium on indigenous plants,In: N.Z. Jl Bot. 27(2):265.,25,8f675808-0846-4601-8ecd-5ee991ced301
3379,P.R. Johnston,1989,Rhytismataceae in New Zealand 2. The genus Lophodermium on indigenous plants,In: N.Z. Jl Bot. 27(2):267.,25,22d65a4d-ae79-4330-a728-18399b75f3d0
3380,P.R. Johnston,1989,Rhytismataceae in New Zealand 2. The genus Lophodermium on indigenous plants,In: N.Z. Jl Bot. 27(2):268.,25,4483da95-2cfc-4530-b4cb-7bd5233ed3c9
3381,P.R. Johnston,1989,Rhytismataceae in New Zealand 2. The genus Lophodermium on indigenous plants,In: N.Z. Jl Bot. 27(2):273.,25,696598ef-052a-481b-bfa6-2a7451cd7ec6
3382,D.W. Minter,1981,\N,In: Mycol. Pap. 147:22.,25,a2dcf293-d683-44e6-9150-f2f3e7b9e478
3383,G. De Notaris,1847,\N,In: G. bot. ital. 2(7-8):46.,25,12802bee-bac7-414b-a055-3f4b9ef4669d
3384,K.W.G.L. Fuckel,1874,\N,In: Jb. nassau. Ver. Naturk. 27-28:50.,25,943e8e4e-dbf1-47cc-9b27-0d20513ca837
3385,K. Starbäck,1895,\N,"In: Bih. K. svenska VetenskAkad. Handl., Afd. 3 21(no. 1):17.",25,4ba3b6fd-4737-4c47-82db-dffb32428a21
3386,J.B.É. Lambotte,1880,\N,In: Fl. myc. Belg. (Verviers) 2:452.,25,6a2cc698-96d4-440a-bbe2-5d8d60568ad2
3387,C.L. Spegazzini,1885,\N,In: Anal. Soc. cient. argent. 19(6):261.,25,13d7964b-16a7-4e63-b774-1b7b9a26f332
3388,J.É. Duby,1861,\N,In: Mém. Soc. Phys. Hist. nat. Genève 16(1):58.,25,aec49057-086e-462c-8169-0ba4008bbcbe
3389,H.S.L.F.F. Rehm,1900,\N,In: Hedwigia 39(4):212.,25,71d9409d-88e4-4eeb-af40-14d0e3c9dcf8
3390,Winter,1887,\N,"In: Rabenh. Krypt.-Fl., Edn 2 (Leipzig) 1.3(lief. 28):48.",25,7cd645f9-2601-4e04-ae2d-e8312dc63d51
3391,J.É. Duby,1861,\N,In: Mém. Soc. Phys. Hist. nat. Genève 16(1):59.,25,38d874c9-25dd-4b08-9699-dfd7b1309ba5
3392,H.S.L.F.F. Rehm,1914,\N,In: Leafl. of Philipp. Bot. 6(no. 103):2233.,25,0ae6b18d-96fd-4b38-b47e-57a6904721e0
3393,F.G.E. Rostrup,1889,\N,In: Farl. Snylt. Danm. Skove (Copenhagen):17.,25,f6140acc-b6ba-49dd-bc95-b1e3c916c160
3394,P.A. Saccardo,1883,\N,In: Syll. fung. (Abellini) 2:797.,25,ac42a567-d18b-4382-bc97-3b7d6b60daba
3395,G. De Notaris,1847,\N,In: G. bot. ital. 2(7-8):45.,25,bea7b83c-c185-4540-a7e5-f867b072ba81
3396,Syd. & P. Syd.,1914,\N,In: Annls mycol. 12(2):201.,25,4d17f13a-3e43-4949-ae43-96cb5ad00f58
3397,G. De Notaris,1847,\N,In: G. bot. ital. 2(7-8):44.,25,b203c0cb-c0c2-43d8-b748-7c084f03932f
3398,J.É. Duby,1861,\N,In: Mém. Soc. Phys. Hist. nat. Genève 16(1):57.,25,12d10167-b694-4d81-b6f9-93d0c16fb02a
3399,J.É. Duby,1883,\N,In: Syll. fung. (Abellini) 2:797.,25,3ae9a080-85f7-441a-a73c-aa78413cf4b5
3400,H.S.L.F.F. Rehm,1914,\N,In: Leafl. of Philipp. Bot. 6(no. 103):2232.,25,5969701e-39a7-40dc-86e5-59e64a716262
3401,P.A. Saccardo,1883,\N,In: Syll. fung. (Abellini) 2:799.,25,9e4b9c9b-8e2f-4fa5-829d-7262aa879448
3402,H.S.L.F.F. Rehm,1912,\N,In: Ber. bayer. bot. Ges. 13:119.,25,6686e677-2b85-42f6-a96b-05cf8a5287db
